full_address,lon,lat,School.Code,District.Name,School.Name.x,State.Board.District,Grade.Span,Title.I.School,grade,SPG.Score,EVAAS.Growth.Status,Number.of.Participation.Targets,Graduatio0.Project,Summer.Program,X4.Year.Cohort.Graduation.Rate.Percent,X5.Year.Cohort.Graduation.Rate.Percent,SPG.Grade_14,SPG.Score_14,SPG.Grade_15,SPG.Score_15,avg_daily_attend_pct,crime_per_c_num,short_susp_per_c_num,long_susp_per_c_num,expelled_per_c_num,stud_internet_comp_num,lea_avg_daily_attend_pct,lea_crime_per_c_num,lea_short_susp_per_c_num,lea_long_susp_per_c_num,lea_expelled_per_c_num,lea_stud_internet_comp_num,st_avg_daily_attend_pct,st_crime_per_c_num,st_short_susp_per_c_num,st_long_susp_per_c_num,st_expelled_per_c_num,st_stud_internet_comp_num,digital_media_pct,Byod,avg_age_media_collection,X_1_to_1_access,books_per_student,wap_num,wap_per_classroom,Category_Cd,sat_avg_score_num,lea_sat_avg_score_num,st_sat_avg_score_num,nat_sat_avg_score_num,sat_participation_pct,lea_sat_participation_pct,st_sat_participation_pct,nat_sat_participation_pct,ap_participation_pct,lea_ap_participation_pct,st_ap_participation_pct,ap_pct_3_or_above,lea_ap_pct_3_or_above,st_ap_pct_3_or_above,street_ad,scity_ad,state_ad,szip_ad,type_cd,sna_pgm_type_cd,school_type_txt,calendar_only_txt,student_num,Grad_project_status,stem,flicensed_teach_pct,tchyrs_0thru3_pct,tchyrs_4thru10_pct,tchyrs_11plus_pct,class_teach_num,nbpts_num,advance_dgr_pct,X_1yr_tchr_trnovr_pct,emer_prov_teach_pct,lateral_teach_pct,highqual_class_pct,LEA.Number,School.No,LEA,School.Name.y,total_pop,pct_male,pct_female,pct_am_in,pct_asian,pct_hispanic,pct_black,pct_white,pct_multi,pct_pac_is,CEP,Final.ADM,Free,Reduced,EDS_pct,three_yr_atten_ratio,three_yr_atten_rank,Appro_Amount,Per_Pupil_Appro,Rank_Appro,No.Degree_pct,Vocational_pct,Bachelor_pct,Masters_pct,Advanced_pct,Doctorate_pct,State_PPE,State_PPE_Rank,Federal_PPE,Federal_PPE_Rank,Local_PPE,Local_PPE_Rank,Total_PPE,Total_PPE_Rank,num_teaching_positions,num_teachers_rec_suppl,average_suppl,num_principals,principals_rec_suppl,princ_avg_suppl,num_asst_prin,asst_prin_rec_suppl,avg_asst_prin_supp,t_num_of_buses,t_num_of_Pupils,t_Miles,t_Cost,t_Cost_Per_Bus,t_Cost_Per_Pupil,t_Cost_Per_Mile
"70 Sanders Rd, Wilmington, NC, 28412",-77.909028,34.122656,650338,New Hanover County Schools,Heyward C Bellamy Elem,Southeast Region,5-Jan,1,B,76,Exceeded,17,0,0,0,0,B,78,B,78,0.957,1.42,2.22,0.47,0,2.07,0.951,0.19,10.59,0.06,0,1.51,0.952,0.21,13.15,0.06,0,1.2,0.01,1,2003,0,14.66,38,1.03,E,0,1041,997,1006,0,0.53,0.49,0.52,0,0.19,0.15,0,0.53,0.51,70 Sanders Rd,Wilmington,NC,28412,P,R,Regular School,Traditional Calendar,632,0,0,1,0.184,0.211,0.605,38,7,0.395,0.007,0,0,1,650,338,New Hanover County Schools,Heyward C Bellamy Elem,622,0.551446945,0.448553055,0.001607717,0.01607717,0.059485531,0.077170418,0.800643087,0.04340836,0.001607717,0,632,241,30,0.3813,95.82,861,70610100,2726,10,1,0,70.2,28.6,0.1,0.1,5458.65,103,886.16,96,2834.7,13,9179.51,67,1956,1956,3476,43,43,10816,58,58,5543,165,11971,2486929,6818257,41322.77,569.57,2.74
"700 Booker Dairy Rd, Smithfield, NC, 27577",-78.3241464,35.5296151,510399,Johnston County Schools,Smithfield-Selma High,North Central Region,12-Sep,1,C,59,NotMet,35,0,0,77.7,81.9,D,53,D,51,1,0.59,16.78,0.17,0,0.8,0.973,0.8,16.9,0.04,0,1.09,0.951,1.27,14.02,0.07,0,1.2,0.11,1,2000,0,13.69,89,0.97,H,914,1013,997,1006,0.33,0.39,0.49,0.52,0.07,0.07,0.15,0.24,0.56,0.51,700 Booker Dairy Rd,Smithfield,NC,27577,P,R,Regular School,Traditional Calendar,1186,0,0,0.815,0.217,0.283,0.5,92,8,0.228,0.112,0,0.163,1,510,399,Johnston County Schools,Smithfield-Selma High,1246,0.48635634,0.51364366,0.001605136,0.009630819,0.358747994,0.296950241,0.295345104,0.03611557,0.001605136,0,1186,710,62,0.5987,95.32,1311,53493000,1553,62,1.6,0,74.1,24.1,0.1,0.1,5602.21,96,791.56,103,1775.07,73,8168.84,106,2409,2409,3854,44,44,16854,75,75,5809,265,18177,4273422,9760148,36830.75,536.95,2.28
"700 Chestnut Drive, High Point, NC, 27262",-80.0233701,35.9568391,410407,Guilford County Schools,The Academy at Central,Piedmont Triad Region,12-Sep,0,B,79,Exceeded,8,0,0,95,95,B,72,B,77,0.965,0.71,4.96,0,0,0.5,0.947,1.54,15.43,0.03,0,1.63,0.951,1.27,14.02,0.07,0,1.2,0,0,1950,0,0,25,1.92,H,836,982,997,1006,0.92,0.64,0.49,0.52,0.11,0.25,0.15,0.43,0.49,0.51,700 Chestnut Drive,High Point,NC,27262,P,M,Magnet School,Traditional Calendar,141,0,0,0.733,0.2,0.4,0.4,15,0,0,0.067,0,0.2,1,410,407,Guilford County Schools,The Academy at Central,142,0.394366197,0.605633803,0,0.077464789,0.288732394,0.408450704,0.183098592,0.042253521,0,1,141,55,10,0.3901,96.07,657,183360398,2567,11,0.4,0,88.8,10.7,0.1,0,5453.57,104,1087.81,67,2785.51,15,9326.89,56,5473,5473,4746,126,126,19209,127,127,10791,606,40960,9662419,27757967,45805.23,677.69,2.87
"700 East Academy Street, Cherryville, NC, 28021",-81.370862,35.378286,360364,Gaston County Schools,Cherryville Elementary,Southwest Region,PK-03,1,C,63,Met,6,0,0,0,0,C,65,C,62,0.955,0,8.96,0,0,1.09,0.946,0,13.52,0,0,0.93,0.952,0.21,13.15,0.06,0,1.2,0.01,0,2000,0,21.04,36,1.06,E,0,972,997,1006,0,0.46,0.49,0.52,0,0.1,0.15,0,0.34,0.51,700 East Academy Street,Cherryville,NC,28021,P,R,Regular School,Traditional Calendar,402,0,0,1,0,0.24,0.76,25,5,0.48,0.058,0,0,1,360,364,Gaston County Schools,Cherryville Elementary,394,0.484771574,0.515228426,0.002538071,0.012690355,0.063451777,0.126903553,0.766497462,0.027918782,0,0,402,246,27,0.6119,95.4,1247,43816704,1401,77,3.8,0,71,25,0.3,0.1,5402.62,107,971.33,81,1724.46,75,8098.41,111,1943,1906,2418,55,55,5277,64,64,3303,210,16739,2150168,6671948,31771.18,398.59,3.1
"700 East Hamlet Street, Pinetops, NC, 27864",-77.630186,35.7888356,330308,Edgecombe County Public School,G W Carver Elementary,North Central Region,PK-05,1,C,59,Exceeded,16,0,1,0,0,D,46,D,54,0.939,0.27,7.02,0,0,0.93,0.94,0.37,31.95,0,0,0.72,0.952,0.21,13.15,0.06,0,1.2,0,0,1996,0,21.78,34,0.65,E,0,861,997,1006,0,0.48,0.49,0.52,0,0,0.15,0,0.19,0.51,700 East Hamlet Street,Pinetops,NC,27864,P,R,Regular School,Traditional Calendar,741,0,0,1,0.156,0.222,0.622,45,12,0.133,0.13,0,0,1,330,308,Edgecombe County Public Schools,G W Carver Elementary,739,0.51285521,0.48714479,0.00135318,0.00135318,0.121786198,0.369418133,0.48037889,0.02435724,0.00135318,1,741,481,10,0.6491,93.45,2134,6904530,1160,90,7,0,75.3,16.9,0.5,0.3,6571.37,37,1622.02,17,1127.51,112,9320.9,58,452,452,2141,14,14,7588,14,14,3550,88,3912,1129402,2380865,27055.28,608.61,2.11
"700 N Herman St, Goldsboro, NC, 27530",-77.979742,35.3864234,960700,Wayne County Public Schools,Wayne School of Engineering,Southeast Region,13-Jun,0,B,82,Met,24,0,0,95,95,A,86,B,84,0.974,0,1.9,0,0,1.36,0.939,0,1.9,0,0,1.71,0.953,1.63,11.2,0.06,0,1.2,0,0,1950,0,0,23,1.05,T,1030,950,997,1006,0.39,0.35,0.49,0.52,0,0.06,0.15,0,0.25,0.51,700 N Herman St,Goldsboro,NC,27530,P,R,Regular School,Traditional Calendar,421,0,1,1,0.28,0.32,0.4,25,2,0.32,0.089,0,0,0.921,960,700,Wayne County Public Schools,Wayne School of Engineering,423,0.482269504,0.517730496,0,0.023640662,0.09929078,0.156028369,0.680851064,0.037825059,0.002364066,0,421,78,10,0.1853,97.4,194,19259728,1041,101,1.8,0,75.6,22.6,0,0,6171.58,57,1200.4,45,1188.1,109,8560.08,93,1447,1447,2715,33,33,5618,24,24,3231,197,11805,2590900,6073243,30828.64,514.46,2.34
"700 Proctor St, Zebulon, NC, 27597",-78.3198379,35.8394223,920632,Wake County Schools,Zebulon Elementary,North Central Region,PK-05,1,C,65,Met,13,0,0,0,0,C,66,D,53,0.952,0,3.62,0,0,2.38,0.956,0.12,3.19,0,0,1.86,0.952,0.21,13.15,0.06,0,1.2,0,0,1998,0,28.62,36,0.77,E,0,1067,997,1006,0,0.62,0.49,0.52,0,0.23,0.15,0,0.62,0.51,700 Proctor St,Zebulon,NC,27597,P,M,Magnet School,Traditional Calendar,525,0,0,1,0.149,0.213,0.638,47,2,0.383,0.258,0,0,1,920,632,Wake County Schools,Zebulon Elementary,520,0.494230769,0.505769231,0.005769231,0.007692308,0.301923077,0.326923077,0.313461538,0.044230769,0,0,525,391,41,0.7448,95.02,1561,384849031,2457,16,0,0,65,34.4,0.4,0.2,5349.09,108,659.07,109,2528.16,19,8536.32,94,9919,9919,6975,171,171,27701,313,313,10852,814,73224,16198382,51545961,63324.28,703.95,3.18
"700 Tingen Road, Apex, NC, 27502",-78.8559185,35.7218971,920308,Wake County Schools,Apex Elementary,North Central Region,PK-05,0,B,76,Met,18,0,0,0,0,B,74,C,69,0.966,0,1.24,0,0,5.32,0.956,0.12,3.19,0,0,1.86,0.952,0.21,13.15,0.06,0,1.2,0,0,1999,0,20.93,33,0.85,E,0,1067,997,1006,0,0.62,0.49,0.52,0,0.23,0.15,0,0.62,0.51,700 Tingen Road,Apex,NC,27502,P,R,Regular School,Traditional Calendar,644,0,0,1,0.1,0.225,0.675,40,6,0.3,0.108,0,0,1,920,308,Wake County Schools,Apex Elementary,637,0.516483516,0.483516484,0.003139717,0.037676609,0.185243328,0.120879121,0.609105181,0.043956044,0,0,644,175,21,0.2717,96.27,525,384849031,2457,16,0,0,65,34.4,0.4,0.2,5349.09,108,659.07,109,2528.16,19,8536.32,94,9919,9919,6975,171,171,27701,313,313,10852,814,73224,16198382,51545961,63324.28,703.95,3.18
"700 Walker Road, Mount Pleasant, NC, 28124",-80.4821312,35.4076448,130324,Cabarrus County Schools,Mount Pleasant High,Southwest Region,12-Sep,0,C,65,NotMet,22,0,1,89.3,91.2,C,65,C,68,0.952,0.84,6.98,0,0,0.85,0.954,1.07,14.05,0.03,0,0.89,0.951,1.27,14.02,0.07,0,1.2,0,1,2002,0,4.07,65,1.27,H,1003,1015,997,1006,0.41,0.54,0.49,0.52,0.09,0.17,0.15,0.47,0.48,0.51,700 Walker Road,Mount Pleasant,NC,28124,P,R,Regular School,Traditional Calendar,831,0,0,0.982,0.088,0.228,0.684,57,12,0.14,0.089,0,0.018,0.971,130,324,Cabarrus County Schools,Mount Pleasant High,849,0.537102473,0.462897527,0.011778563,0.008244994,0.049469965,0.037691402,0.871613663,0.018845701,0.002355713,0,831,275,50,0.3309,94.99,1582,56363009,1803,37,0,0.1,71.7,27.9,0.3,0.1,5218.56,113,638.81,110,2168.65,37,8026.02,112,2415,2415,3053,39,39,14376,72,72,5822,267,18607,4431581,11528532,43178.02,619.57,2.6
"700 Watts Street, Durham, NC, 27701",-78.9105876,36.0082196,320347,Durham Public Schools,George Watts Elementary,North Central Region,PK-05,1,C,67,Exceeded,16,0,1,0,0,C,65,C,60,0.966,0,0,0,0,1.87,0.946,0.21,5.96,0.01,0,1.71,0.952,0.21,13.15,0.06,0,1.2,0.01,0,2000,0,22.75,38,1.12,E,0,942,997,1006,0,0.54,0.49,0.52,0,0.18,0.15,0,0.52,0.51,700 Watts Street,Durham,NC,27701,P,M,Magnet School,Traditional Calendar,350,0,0,0.907,0.344,0.156,0.5,32,2,0.281,0.095,0,0.062,0.957,320,347,Durham Public Schools,George Watts Elementary,350,0.5,0.5,0,0.005714286,0.342857143,0.182857143,0.411428571,0.057142857,0,0,350,171,10,0.4886,96.39,453,123031937,3712,5,0,0,67,32,0.5,0.4,5829.04,75,1126.43,61,3601.48,5,10556.95,25,2215,2194,6790,53,53,24661,71,71,9781,260,19324,4498456,13698826,52687.79,708.91,3.05
