full_address,lon,lat,School.Code,District.Name,School.Name.x,State.Board.District,Grade.Span,Title.I.School,grade,SPG.Score,EVAAS.Growth.Status,Number.of.Participation.Targets,Graduatio0.Project,Summer.Program,X4.Year.Cohort.Graduation.Rate.Percent,X5.Year.Cohort.Graduation.Rate.Percent,SPG.Grade_14,SPG.Score_14,SPG.Grade_15,SPG.Score_15,avg_daily_attend_pct,crime_per_c_num,short_susp_per_c_num,long_susp_per_c_num,expelled_per_c_num,stud_internet_comp_num,lea_avg_daily_attend_pct,lea_crime_per_c_num,lea_short_susp_per_c_num,lea_long_susp_per_c_num,lea_expelled_per_c_num,lea_stud_internet_comp_num,st_avg_daily_attend_pct,st_crime_per_c_num,st_short_susp_per_c_num,st_long_susp_per_c_num,st_expelled_per_c_num,st_stud_internet_comp_num,digital_media_pct,Byod,avg_age_media_collection,X_1_to_1_access,books_per_student,wap_num,wap_per_classroom,Category_Cd,sat_avg_score_num,lea_sat_avg_score_num,st_sat_avg_score_num,nat_sat_avg_score_num,sat_participation_pct,lea_sat_participation_pct,st_sat_participation_pct,nat_sat_participation_pct,ap_participation_pct,lea_ap_participation_pct,st_ap_participation_pct,ap_pct_3_or_above,lea_ap_pct_3_or_above,st_ap_pct_3_or_above,street_ad,scity_ad,state_ad,szip_ad,type_cd,sna_pgm_type_cd,school_type_txt,calendar_only_txt,student_num,Grad_project_status,stem,flicensed_teach_pct,tchyrs_0thru3_pct,tchyrs_4thru10_pct,tchyrs_11plus_pct,class_teach_num,nbpts_num,advance_dgr_pct,X_1yr_tchr_trnovr_pct,emer_prov_teach_pct,lateral_teach_pct,highqual_class_pct,LEA.Number,School.No,LEA,School.Name.y,total_pop,pct_male,pct_female,pct_am_in,pct_asian,pct_hispanic,pct_black,pct_white,pct_multi,pct_pac_is,CEP,Final.ADM,Free,Reduced,EDS_pct,three_yr_atten_ratio,three_yr_atten_rank,Appro_Amount,Per_Pupil_Appro,Rank_Appro,No.Degree_pct,Vocational_pct,Bachelor_pct,Masters_pct,Advanced_pct,Doctorate_pct,State_PPE,State_PPE_Rank,Federal_PPE,Federal_PPE_Rank,Local_PPE,Local_PPE_Rank,Total_PPE,Total_PPE_Rank,num_teaching_positions,num_teachers_rec_suppl,average_suppl,num_principals,principals_rec_suppl,princ_avg_suppl,num_asst_prin,asst_prin_rec_suppl,avg_asst_prin_supp,t_num_of_buses,t_num_of_Pupils,t_Miles,t_Cost,t_Cost_Per_Bus,t_Cost_Per_Pupil,t_Cost_Per_Mile
"088 Hwy 158 West, Gatesville, NC, 27938",-76.6917488,36.4507759,370312,Gates County Schools,Gates County Senior High,Northeast Region,12-Sep,0,B,74,Exceeded,24,0,0,87.1,89.7,B,71,B,72,0.938,1.2,25.6,0,0,0.96,0.949,1.2,25.6,0,0,0.98,0.951,1.27,14.02,0.07,0,1.2,0.09,0,1997,0,18.9,63,1.31,H,916,916,997,1006,0.4,0.4,0.49,0.52,0,0,0.15,0.73,0.73,0.51,088 Hwy 158 West,Gatesville,NC,27938,P,R,Regular School,Traditional Calendar,500,0,0,0.878,0.22,0.22,0.561,41,4,0.244,0.289,0.024,0.098,0.914,370,312,Gates County Schools,Gates County Senior High,519,0.502890173,0.497109827,0.007707129,0,0.015414258,0.344894027,0.599229287,0.030828516,0.001926782,0,500,179,40,0.358,94.06,2033,2945000,1827,33,0,0,75.4,24.6,0,0,8092.44,10,942.9,87,2058.81,45,11094.15,18,121,121,550,5,5,4800,3,3,717,29,967,384585,564315,19459.14,583.57,1.47
"1 Bearcat Boulevard, Hendersonville, NC, 28791",-82.4642194,35.3214055,450334,Henderson County Schools,Hendersonville High,Western Region,12-Sep,0,B,83,Exceeded,21,1,1,95,95,B,82,B,84,0.951,0.13,9.03,0,0,1.46,0.955,0.73,8.11,0,0,1.64,0.951,1.27,14.02,0.07,0,1.2,0,0,1991,0,8.97,58,1.16,H,1064,1014,997,1006,0.48,0.37,0.49,0.52,0.18,0.13,0.15,0.56,0.49,0.51,1 Bearcat Boulevard,Hendersonville,NC,28791,P,R,Regular School,Traditional Calendar,753,1,0,0.874,0.146,0.25,0.604,48,15,0.417,0.172,0.042,0.084,1,450,334,Henderson County Schools,Hendersonville High,764,0.492146597,0.507853403,0,0.005235602,0.134816754,0.102094241,0.695026178,0.060209424,0.002617801,0,753,241,44,0.3201,95.14,1465,23525770,1742,41,0.1,0,65.3,33.7,0.9,0,5652.12,89,1041.44,72,1867.73,61,8561.29,92,903,903,3705,23,23,5823,15,15,4849,111,6251,1073153,3292400,29661.26,526.7,3.07
"1 Black Bear Drive, Canton, NC, 28716",-82.8414076,35.5217392,440378,Haywood County Schools,Pisgah High,Western Region,12-Sep,0,B,74,Met,27,0,0,86.1,90.3,C,69,C,69,0.955,2.69,5.58,0.1,0,1.8,0.955,2.38,10.8,0.13,0,1.55,0.951,1.27,14.02,0.07,0,1.2,0.01,1,1997,0,8.93,82,1,H,983,1004,997,1006,0.33,0.32,0.49,0.52,0.07,0.09,0.15,0.4,0.31,0.51,1 Black Bear Drive,Canton,NC,28716,P,R,Regular School,Traditional Calendar,968,0,0,0.977,0.134,0.299,0.567,67,17,0.328,0.074,0,0.023,1,440,378,Haywood County Schools,Pisgah High,988,0.53340081,0.46659919,0.004048583,0.006072874,0.050607287,0.004048583,0.908906883,0.026315789,0,0,968,377,64,0.3895,95.14,1459,14236239,1996,26,0.6,0,71.8,27.6,0,0,5713.24,81,1184.68,49,2459.2,22,9357.12,54,522,522,1967,16,16,4070,12,12,3694,74,3255,751733,2237560,30237.3,687.42,2.98
"1 Cougar Lane, Newport, NC, 28570",-76.9504094,34.7161474,160314,Carteret County Public Schools,Croatan High,Southeast Region,12-Sep,0,A,87,Exceeded,25,0,0,90.6,90.5,A,89,A,90,0.936,1.12,11.27,0.11,0,1.19,0.948,1.26,27.33,0.04,0,1.03,0.951,1.27,14.02,0.07,0,1.2,0.03,1,1997,0,13.3,44,0.9,H,1100,1080,997,1006,0.48,0.43,0.49,0.52,0.16,0.11,0.15,0.7,0.7,0.51,1 Cougar Lane,Newport,NC,28570,P,R,Regular School,Traditional Calendar,896,0,0,0.966,0.207,0.172,0.621,58,15,0.259,0.193,0,0.017,1,160,314,Carteret County Public Schools,Croatan High,933,0.506966774,0.493033226,0.006430868,0.006430868,0.050375134,0.033226152,0.853161844,0.049303323,0.001071811,0,896,190,53,0.2121,93.94,2055,20354396,2468,15,0.8,0,71.2,27.9,0.2,0,5589.94,97,837.39,101,2875.09,12,9302.42,59,680,680,2635,17,17,9754,14,14,4272,100,4044,891501,1889908,18899.08,467.31,2.12
"1 Dragon Pride Dr, Concord, NC, 28027",-80.738114,35.428301,130336,Cabarrus County Schools,W R Odell Elementary,Southwest Region,0K-05,0,B,74,NotMet,21,0,0,0,0,B,76,B,78,0.963,0,0.79,0,0,1.45,0.955,0.11,6.03,0.01,0,0.89,0.952,0.21,13.15,0.06,0,1.2,0.01,1,2001,0,15.2,40,0.68,E,0,1015,997,1006,0,0.54,0.49,0.52,0,0.17,0.15,0,0.48,0.51,1 Dragon Pride Dr,Concord,NC,28027,P,R,Regular School,Traditional Calendar,1015,0,0,0.982,0.143,0.268,0.589,56,2,0.232,0.074,0,0.018,0.986,130,336,Cabarrus County Schools,W R Odell Elementary,986,0.523326572,0.476673428,0.001014199,0.085192698,0.088235294,0.162271805,0.626774848,0.035496957,0.001014199,0,1015,135,32,0.133,96.25,540,56363009,1803,37,0,0.1,71.7,27.9,0.3,0.1,5218.56,113,638.81,110,2168.65,37,8026.02,112,2415,2415,3053,39,39,14376,72,72,5822,267,18607,4431581,11528532,43178.02,619.57,2.6
"1 High School Dr, Monroe, NC, 28112",-80.5268582,34.9724281,900336,Union County Public Schools,Monroe High,Southwest Region,12-Sep,0,C,56,NotMet,34,0,0,87.2,84.3,C,57,D,51,0.927,0.62,55.88,0.09,0,0.74,0.956,0.86,13.23,0.02,0,0.93,0.951,1.27,14.02,0.07,0,1.2,0.03,0,2001,1,8.01,86,1.28,H,828,1051,997,1006,0.33,0.64,0.49,0.52,0.07,0.18,0.15,0.31,0.68,0.51,1 High School Dr,Monroe,NC,28112,P,R,Regular School,Traditional Calendar,1122,0,0,0.918,0.23,0.149,0.622,74,6,0.324,0.099,0,0.082,0.975,900,336,Union County Public Schools,Monroe High,1148,0.504355401,0.495644599,0.00261324,0.004355401,0.480836237,0.355400697,0.128919861,0.027874564,0,0,1122,834,71,0.7433,92.98,2198,87825791,2097,23,2.1,0,69.3,28,0.4,0.1,5200.55,115,578.12,112,2335.55,31,8114.22,109,2744,2744,3953,51,51,11038,83,83,6003,314,24847,5318501,14331962,45643.19,576.81,2.69
"1 Learning Place, Gastonia, NC, 28052",-81.2268973,35.2440181,360460,Gaston County Schools,Forest Heights Elementary,Southwest Region,PK-05,1,D,53,Exceeded,13,0,0,0,0,D,40,D,49,0.958,0,22.72,0,0,0.65,0.946,0,13.52,0,0,0.93,0.952,0.21,13.15,0.06,0,1.2,0,0,2004,0,12.03,41,1.52,E,0,972,997,1006,0,0.46,0.49,0.52,0,0.1,0.15,0,0.34,0.51,1 Learning Place,Gastonia,NC,28052,P,R,Regular School,Traditional Calendar,383,0,0,1,0.308,0.231,0.462,26,1,0.308,0.21,0,0,1,360,460,Gaston County Schools,Forest Heights Elementary,392,0.5,0.5,0,0.007653061,0.270408163,0.395408163,0.267857143,0.058673469,0,1,383,288,10,0.752,95.88,821,43816704,1401,77,3.8,0,71,25,0.3,0.1,5402.62,107,971.33,81,1724.46,75,8098.41,111,1943,1906,2418,55,55,5277,64,64,3303,210,16739,2150168,6671948,31771.18,398.59,3.1
"1 Roadrunner Drive, Gastonia, NC, 28052",-81.2077268,35.2311234,360498,Gaston County Schools,Southwest Middle,Southwest Region,8-Jun,1,D,48,Met,25,0,1,0,0,D,42,D,44,0.945,0.77,54.94,0,0,0.85,0.941,0.47,32.14,0,0,0.93,0.951,0.83,14.64,0.06,0,1.2,0.01,1,2000,0,11.12,52,1.16,M,0,972,997,1006,0,0.46,0.49,0.52,0,0.1,0.15,0,0.34,0.51,1 Roadrunner Drive,Gastonia,NC,28052,P,R,Regular School,Traditional Calendar,779,0,0,0.846,0.462,0.154,0.385,52,1,0.173,0.122,0.019,0.115,1,360,498,Gaston County Schools,Southwest Middle,799,0.495619524,0.504380476,0.002503129,0.002503129,0.177722153,0.362953692,0.416770964,0.037546934,0,1,779,458,10,0.5879,95.56,1114,43816704,1401,77,3.8,0,71,25,0.3,0.1,5402.62,107,971.33,81,1724.46,75,8098.41,111,1943,1906,2418,55,55,5277,64,64,3303,210,16739,2150168,6671948,31771.18,398.59,3.1
"1 Rocket Drive, Asheville, NC, 28803",-82.477241,35.545811,110304,Buncombe County Schools,Reynolds High,Western Region,12-Sep,0,B,76,Met,35,1,0,92.8,92.7,B,72,B,77,0.955,1.41,11.73,0,0,2.46,0.95,2.17,20.21,0.03,0,1.45,0.951,1.27,14.02,0.07,0,1.2,0.05,1,1995,0,14.29,117,1.43,H,1060,1037,997,1006,0.56,0.47,0.49,0.52,0.19,0.16,0.15,0.63,0.54,0.51,1 Rocket Drive,Asheville,NC,28803,P,R,Regular School,Traditional Calendar,1279,1,0,0.898,0.22,0.268,0.512,81,14,0.284,0.197,0.012,0.077,1,110,304,Buncombe County Schools,Reynolds High,1311,0.513348589,0.486651411,0.001525553,0.022120519,0.083142639,0.094584287,0.736079329,0.062547674,0,0,1279,436,106,0.3409,95.48,1171,53388985,2197,20,1.5,0,67.1,31,0.3,0.2,5669,87,917.31,93,2493.43,20,9079.74,71,1928,1910,3721,42,42,6677,49,49,5077,262,13979,2795232,9282917,35430.98,664.06,3.32
"100 7th Street SW, Taylorsville, NC, 28681",-81.1822738,35.9202308,20328,Alexander County Schools,Taylorsville Elementary,Northwest Region,PK-05,1,B,71,Exceeded,9,0,0,0,0,C,58,C,57,0.963,2,4,0,0,1.75,0.963,0.67,2.61,0,0,1.08,0.952,0.21,13.15,0.06,0,1.2,0,0,1998,0,25.36,29,1,E,0,1002,997,1006,0,0.34,0.49,0.52,0,0.09,0.15,0,0.47,0.51,100 7th Street SW,Taylorsville,NC,28681,P,R,Regular School,Traditional Calendar,300,0,0,1,0.1,0.25,0.65,20,6,0.3,0.049,0,0,1,20,328,Alexander County Schools,Taylorsville Elementary,301,0.478405316,0.521594684,0,0.013289037,0.199335548,0.129568106,0.568106312,0.089700997,0,1,300,173,10,0.5767,95.93,783,5781900,1170,89,0.3,0,71.2,27.6,0.6,0.3,6063.47,63,923.51,92,1518.55,92,8505.53,100,377,377,2588,10,10,7841,6,6,5452,57,2141,651274,1404001,24631.6,655.77,2.16
"100 Alta Vista Street, Morganton, NC, 28655",-81.608688,35.749674,120312,Burke County Schools,Drexel Elementary,Northwest Region,PK-05,1,C,67,Exceeded,13,0,1,0,0,C,58,C,63,0.962,0.63,6.96,0,0,1.12,0.954,0.14,2.5,0,0,1.26,0.952,0.21,13.15,0.06,0,1.2,0.01,0,1998,0,27.36,37,1.12,E,0,1001,997,1006,0,0.22,0.49,0.52,0,0.14,0.15,0,0.41,0.51,100 Alta Vista Street,Morganton,NC,28655,P,R,Regular School,Traditional Calendar,474,0,0,0.902,0.097,0.194,0.71,31,8,0.419,0.066,0.033,0.066,1,120,312,Burke County Schools,Drexel Elementary,473,0.498942918,0.501057082,0,0.1205074,0.109936575,0.038054968,0.66384778,0.065539112,0.002114165,0,474,305,55,0.6435,97.29,214,14246967,1153,91,0.1,0,65.4,34,0.3,0.3,6119.8,60,982.92,79,1409.5,99,8512.22,99,904,904,2195,27,27,5258,25,25,3252,101,5556,1124631,2968828,29394.34,534.35,2.64
"100 Bald Creek School Road, Burnsville, NC, 28714",-82.423218,35.91298,995304,Yancey County Schools,Bald Creek Elementary,Northwest Region,0K-05,1,B,81,Met,7,0,1,0,0,B,84,A,85,0.951,0,7.98,0,0,0.65,0.945,0,3.36,0,0,0.76,0.952,0.21,13.15,0.06,0,1.2,0.01,1,1998,0,39.48,19,1.19,E,0,1029,997,1006,0,0.27,0.49,0.52,0,0,0.15,0,0.79,0.51,100 Bald Creek School Road,Burnsville,NC,28714,P,R,Regular School,Traditional Calendar,163,0,0,1,0.417,0.25,0.333,12,1,0.25,0.257,0,0,1,995,304,Yancey County Schools,Bald Creek Elementary,159,0.522012579,0.477987421,0.018867925,0,0.119496855,0.006289308,0.855345912,0,0,0,163,93,10,0.5706,94.59,1822,3091472,1406,74,0,0,78.2,21.3,0.6,0,7230.17,27,1297.05,34,2203,34,10730.22,22,194,194,300,9,9,300,5,5,300,39,1550,396758,1426859,36586.13,920.55,3.6
"100 Bryan Chalk Lane, Knightdale, NC, 27545",-78.4766682,35.8110892,920466,Wake County Schools,Knightdale High,North Central Region,12-Sep,0,D,48,NotMet,41,0,1,87,90.5,C,64,C,56,0.931,1.4,14.05,0.79,0,1.76,0.954,1.14,9.77,0.58,0,1.86,0.951,1.27,14.02,0.07,0,1.2,0,1,2000,0,7.71,69,0.72,H,906,1067,997,1006,0.42,0.62,0.49,0.52,0.23,0.23,0.15,0.14,0.62,0.51,100 Bryan Chalk Lane,Knightdale,NC,27545,P,R,Regular School,Traditional Calendar,1644,0,0,0.865,0.423,0.288,0.288,104,8,0.192,0.257,0.01,0.115,0.97,920,466,Wake County Schools,Knightdale High,1692,0.516548463,0.483451537,0.004728132,0.018321513,0.261229314,0.477541371,0.189125296,0.047281324,0.00177305,0,1644,793,124,0.4824,93.93,2061,384849031,2457,16,0,0,65,34.4,0.4,0.2,5349.09,108,659.07,109,2528.16,19,8536.32,94,9919,9919,6975,171,171,27701,313,313,10852,814,73224,16198382,51545961,63324.28,703.95,3.18
"100 Carraway Drive, Beaufort, NC, 28516",-76.6464474,34.7282948,160310,Carteret County Public Schools,Beaufort Middle,Southeast Region,8-Jun,0,C,62,NotMet,15,0,0,0,0,C,63,C,60,0.948,0,4.44,0.4,0,0.55,0.947,0.33,12.25,0.22,0,1.03,0.951,0.83,14.64,0.06,0,1.2,0,0,1997,0,40.46,17,0.68,M,0,1080,997,1006,0,0.43,0.49,0.52,0,0.11,0.15,0,0.7,0.51,100 Carraway Drive,Beaufort,NC,28516,P,R,Regular School,Traditional Calendar,248,0,0,1,0.227,0.227,0.545,22,3,0.227,0.435,0,0,0.938,160,310,Carteret County Public Schools,Beaufort Middle,251,0.474103586,0.525896414,0.003984064,0.011952191,0.075697211,0.151394422,0.71314741,0.043824701,0,0,248,117,26,0.4718,94.92,1632,20354396,2468,15,0.8,0,71.2,27.9,0.2,0,5589.94,97,837.39,101,2875.09,12,9302.42,59,680,680,2635,17,17,9754,14,14,4272,100,4044,891501,1889908,18899.08,467.31,2.12
"100 College Dr, 600 Building, Weldon, NC, 27890",-77.6176477,36.4281834,422310,Weldon City Schools,Roanoke Valley Early College,Northeast Region,13-Aug,1,B,73,Met,8,0,1,87.8,95,C,63,B,77,1,0,0,0,0,2.51,0.959,1.13,14.65,0,0,1.4,0.951,1.27,14.02,0.07,0,1.2,0,0,1950,0,0,0,0,H,836,806,997,1006,0.91,0.76,0.49,0.52,0,0,0.15,0,0,0.51,"100 College Dr, 600 Building",Weldon,NC,27890,P,R,Regular School,Traditional Calendar,173,0,0,0.625,0.625,0.25,0.125,8,0,0,0.25,0,0.375,0.944,422,310,Weldon City Schools,Roanoke Valley Early College,185,0.302702703,0.697297297,0.016216216,0,0.010810811,0.859459459,0.091891892,0.021621622,0,1,173,70,10,0.4046,99.25,63,1828084,2070,24,0,0,92.1,7.9,0,0,8838.45,5,2238.69,4,3153.54,10,14230.68,3,75,0,0,4,4,3396,3,1,1227,15,706,149307,174398,11626.53,247.02,1.17
"100 Cougar Drive BSL, Southport, NC, 28461",-78.047994,34.008497,100335,Brunswick County Schools,South Brunswick Middle,Southeast Region,8-Jun,1,C,66,Exceeded,23,0,0,0,0,C,58,C,61,0.938,1.92,14.95,0.14,0,2.34,0.945,0.91,21.04,0.04,0,2.12,0.951,0.83,14.64,0.06,0,1.2,0.1,0,2001,0,19.06,64,1.33,M,0,963,997,1006,0,0.38,0.49,0.52,0,0.09,0.15,0,0.4,0.51,100 Cougar Drive BSL,Southport,NC,28461,P,R,Regular School,Traditional Calendar,729,0,0,1,0.25,0.208,0.542,48,10,0.333,0.149,0,0,0.957,100,335,Brunswick County Schools,South Brunswick Middle,729,0.507544582,0.492455418,0.005486968,0.009602195,0.04526749,0.074074074,0.803840878,0.061728395,0,0,729,357,51,0.4897,95.29,1334,31276705,2529,12,0,0,74.7,25.2,0,0.1,5565.48,98,1091,66,2667.56,18,9324.04,57,792,792,2763,19,19,7579,32,32,4325,149,6613,2600358,5570044,37382.85,842.29,2.14
"100 Dundee Road, Pinehurst, NC, 28374",-79.4630391,35.2004831,630342,Moore County Schools,Pinehurst Elementary,SandHills Region,0K-05,0,B,79,Met,10,0,0,0,0,B,83,B,79,0.958,0.19,0.94,0,0,1.85,0.953,0.17,3.33,0,0,0.88,0.952,0.21,13.15,0.06,0,1.2,0,0,1996,0,23.55,32,0.91,E,0,1019,997,1006,0,0.46,0.49,0.52,0,0.23,0.15,0,0.51,0.51,100 Dundee Road,Pinehurst,NC,28374,P,X,Regular School,Traditional Calendar plus Year-Round Calendar,530,0,0,1,0.226,0.355,0.419,30,3,0.29,0.1,0,0,1,630,342,Moore County Schools,Pinehurst Elementary,532,0.479323308,0.520676692,0.001879699,0.028195489,0.073308271,0.093984962,0.763157895,0.037593985,0.001879699,0,530,87,10,0.1642,96.99,264,25228987,1976,27,0,0,68.8,30.6,0.5,0.1,5415.15,105,939.35,89,2343.89,28,8698.39,85,822,822,3657,23,23,8313,28,28,6188,116,6244,1784784,3402506,29331.95,544.92,1.91
"100 East Industrial Drive, Burgaw, NC, 28425",-77.9227024,34.5434052,710327,Pender County Schools,Pender Early College High,Southeast Region,13-Sep,0,A,95,Exceeded,8,1,1,95,91.4,A,86,A,91,1,0,0,0,0,0.89,0.945,1.49,13.58,0.15,0,0.84,0.951,1.27,14.02,0.07,0,1.2,0,0,1950,0,0,14,1.4,H,1126,1015,997,1006,0.33,0.41,0.49,0.52,0,0.12,0.15,0.71,0.44,0.51,100 East Industrial Drive,Burgaw,NC,28425,P,R,Regular School,Traditional Calendar,203,1,0,1,0.167,0.5,0.333,12,1,0.25,0.167,0,0,1,710,327,Pender County Schools,Pender Early College High,211,0.44549763,0.55450237,0,0.004739336,0.156398104,0.123222749,0.701421801,0.014218009,0,0,203,62,10,0.3054,98.56,107,13087356,1467,71,2.7,0,69.5,27.4,0,0.3,5654.16,88,947.06,85,1916.08,56,8517.3,97,535,535,2791,16,16,11754,20,20,2531,95,4841,1550766,2938494,30931.52,607.03,1.89
"100 Flat Creek Road, Black Mountain, NC, 28711",-82.3148424,35.621961,110318,Buncombe County Schools,Black Mountain Elementary,Western Region,5-Apr,1,C,67,Met,13,0,1,0,0,C,68,C,62,0.952,0,0.95,0,0,0.7,0.951,0.06,2.8,0,0,1.45,0.952,0.21,13.15,0.06,0,1.2,0,0,2002,0,31.21,32,1.6,E,0,1037,997,1006,0,0.47,0.49,0.52,0,0.16,0.15,0,0.54,0.51,100 Flat Creek Road,Black Mountain,NC,28711,P,R,Regular School,Traditional Calendar,210,0,0,1,0.25,0.188,0.563,15,1,0.313,0.128,0,0,1,110,318,Buncombe County Schools,Black Mountain Elementary,209,0.488038278,0.511961722,0,0,0.071770335,0.057416268,0.827751196,0.043062201,0,0,210,104,10,0.4952,95.43,1210,53388985,2197,20,1.5,0,67.1,31,0.3,0.2,5669,87,917.31,93,2493.43,20,9079.74,71,1928,1910,3721,42,42,6677,49,49,5077,262,13979,2795232,9282917,35430.98,664.06,3.32
"100 Forest Hills School Rd, Marshville, NC, 28103",-80.414609,34.979545,900316,Union County Public Schools,Forest Hills High,Southwest Region,12-Sep,0,C,59,NotMet,35,0,0,84.1,88.6,C,64,C,64,0.938,1.01,14.75,0,0,0.74,0.956,0.86,13.23,0.02,0,0.93,0.951,1.27,14.02,0.07,0,1.2,0.14,0,2003,1,10.63,73,1.07,H,871,1051,997,1006,0.38,0.64,0.49,0.52,0.1,0.18,0.15,0.39,0.68,0.51,100 Forest Hills School Rd,Marshville,NC,28103,P,R,Regular School,Traditional Calendar,990,0,0,0.844,0.281,0.281,0.438,64,11,0.172,0.156,0,0.141,1,900,316,Union County Public Schools,Forest Hills High,1013,0.499506417,0.500493583,0.001974334,0.003948667,0.263573544,0.328726555,0.382033564,0.019743337,0,0,990,594,90,0.6,93.65,2109,87825791,2097,23,2.1,0,69.3,28,0.4,0.1,5200.55,115,578.12,112,2335.55,31,8114.22,109,2744,2744,3953,51,51,11038,83,83,6003,314,24847,5318501,14331962,45643.19,576.81,2.69
"100 Forrest Hunt Drive, Forest City, NC, 28043",-81.8511683,35.3018057,810350,Rutherford County Schools,Forrest W. Hunt Elementary School,Western Region,PK-05,1,B,75,Met,11,0,1,0,0,C,64,B,74,0.95,0.26,4.74,0,0,0.82,0.941,0.16,6.6,0,0,0.86,0.952,0.21,13.15,0.06,0,1.2,0,0,1996,0,32.85,28,0.88,E,0,922,997,1006,0,0.45,0.49,0.52,0,0.09,0.15,0,0.34,0.51,100 Forrest Hunt Drive,Forest City,NC,28043,P,R,Regular School,Traditional Calendar,380,0,0,1,0.08,0.6,0.32,25,1,0.423,0.04,0,0,1,810,350,Rutherford County Schools,Forrest W Hunt Elementary School,376,0.518617021,0.481382979,0.002659574,0,0.164893617,0.106382979,0.643617021,0.082446809,0,1,380,253,10,0.6658,95.11,1491,13095375,1603,56,1.3,0,71.3,26.7,0.5,0.2,6406.89,44,1137.45,58,1703.63,77,9247.97,62,545,545,1100,18,18,10945,18,18,3167,98,4195,1331932,3054445,31167.81,728.12,2.29
"100 Hargrave St, Lumberton, NC, 28358",-78.9865269,34.6135192,780329,Robeson County Schools,Janie C Hargrave Elem,SandHills Region,PK-04,1,D,44,Met,6,0,0,0,0,F,37,F,36,0.958,0,4.58,0,0,1.1,0.937,0.16,15.53,0,0,1,0.952,0.21,13.15,0.06,0,1.2,0.04,0,2000,0,29.61,21,1.17,E,0,861,997,1006,0,0.28,0.49,0.52,0,0.09,0.15,0,0.11,0.51,100 Hargrave St,Lumberton,NC,28358,P,R,Regular School,Traditional Calendar,262,0,0,1,0.077,0.308,0.615,14,0,0.143,0.128,0,0,0.911,780,329,Public Schools of Robeson County,Janie C Hargrave Elem,265,0.524528302,0.475471698,0.154716981,0.033962264,0.173584906,0.411320755,0.188679245,0.033962264,0.003773585,1,262,190,10,0.7252,97.81,166,12375000,532,114,3,0,72.4,24.3,0.2,0.1,6490.65,39,1703.87,13,748.37,115,8942.89,77,1635,1635,2349,42,42,4114,33,33,2436,267,13555,2551688,7498139,28082.92,553.16,2.94
"100 John Roach Drive, Marion, NC, 28752",-82.0701156,35.6919317,590344,McDowell County Schools,Pleasant Gardens Elementary,Northwest Region,PK-05,1,D,49,NotMet,10,0,1,0,0,D,52,D,50,0.957,0,2.04,0,0,1.45,0.961,0,1.95,0,0,0.91,0.952,0.21,13.15,0.06,0,1.2,0.02,1,1999,0,27.5,63,2.03,E,0,986,997,1006,0,0.31,0.49,0.52,0,0,0.15,0,0.39,0.51,100 John Roach Drive,Marion,NC,28752,P,R,Regular School,Traditional Calendar,392,0,0,0.982,0.138,0.207,0.655,29,3,0.276,0.059,0,0.018,1,590,344,McDowell County Schools,Pleasant Gardens Elementary,402,0.524875622,0.475124378,0.002487562,0.009950249,0.126865672,0.019900498,0.815920398,0.024875622,0,1,392,208,10,0.5306,95.96,763,8001390,1294,80,1.6,0,70.7,26.8,0.5,0.5,6389.11,46,1512.02,23,1644.92,84,9546.05,48,504,504,927,13,13,4030,9,9,2181,65,2676,741215,1886858,29028.58,705,2.55
"100 Lawson Ridge Road, Knightdale, NC, 27545",-78.481874,35.8101429,920413,Wake County Schools,Forestville Road Elementary,North Central Region,PK-05,1,C,58,Met,18,0,0,0,0,C,62,C,63,0.957,0.14,2.14,0,0,1.48,0.956,0.12,3.19,0,0,1.86,0.952,0.21,13.15,0.06,0,1.2,0,1,1999,0,17.43,36,0.62,E,0,1067,997,1006,0,0.62,0.49,0.52,0,0.23,0.15,0,0.62,0.51,100 Lawson Ridge Road,Knightdale,NC,27545,P,R,Regular School,Traditional Calendar,700,0,0,1,0.145,0.327,0.527,55,5,0.345,0.056,0,0,0.941,920,413,Wake County Schools,Forestville Road Elementary,698,0.505730659,0.494269341,0.004297994,0.015759312,0.32234957,0.408309456,0.226361032,0.022922636,0,0,700,405,82,0.5786,95.58,1091,384849031,2457,16,0,0,65,34.4,0.4,0.2,5349.09,108,659.07,109,2528.16,19,8536.32,94,9919,9919,6975,171,171,27701,313,313,10852,814,73224,16198382,51545961,63324.28,703.95,3.18
"100 Panther Drive, Franklin, NC, 28734",-83.3821584,35.1767199,560320,Macon County Schools,Franklin High,Western Region,12-Sep,0,C,67,NotMet,23,1,0,95,95,B,74,C,63,0.906,1.28,6.19,0,0,0.74,0.94,1.08,5.24,0,0,1.17,0.951,1.27,14.02,0.07,0,1.2,0.01,0,1992,1,12.11,91,1.44,H,953,976,997,1006,0.42,0.41,0.49,0.52,0.06,0.06,0.15,0.67,0.64,0.51,100 Panther Drive,Franklin,NC,28734,P,R,Regular School,Traditional Calendar,937,1,0,0.983,0.083,0.25,0.667,60,12,0.133,0.079,0,0.017,0.907,560,320,Macon County Schools,Franklin High,972,0.528806584,0.471193416,0.00617284,0.008230453,0.122427984,0.010288066,0.822016461,0.028806584,0.002057613,0,937,393,110,0.4194,91.07,2315,7846962,1808,36,1.6,0,77.7,20.8,0,0,6246.36,52,1118.33,63,2139.06,40,9503.75,50,380,380,744,11,11,1325,2,2,1411,52,2277,512531,1863502,35836.58,818.4,3.64
